solute,solvent,Gsolv
CCCCCCCC,CC1=NC=CC=C1,-4.782366667
Cc1ccccc1,CC1=NC=CC=C1,-5.1163
CCO,CC1=NC=CC=C1,-4.9693
C1COCCO1,CC1=NC=CC=C1,-5.0176
CCC(C)=O,CC1=NC=CC=C1,-4.5244
CCCCCCCC,CC(=O)O,-3.96375
Cc1ccccc1,CC(=O)O,-4.566175
CCO,CC(=O)O,-5.22185
C1COCCO1,CC(=O)O,-5.81855
CCC(C)=O,CC(=O)O,-4.8386
C[N+]([O-])=O,CC(=O)O,-4.8615
CCCCCCCC,CC#N,-3.634428571
Cc1ccccc1,CC#N,-4.718933333
CCO,CC#N,-4.375033333
C1COCCO1,CC#N,-5.27655
CCC(C)=O,CC#N,-4.74885
C[N+]([O-])=O,CC#N,-5.6262
CCCCCCCC,CC(=O)C1=CC=CC=C1,-4.29195
Cc1ccccc1,CC(=O)C1=CC=CC=C1,-4.9345
CCO,CC(=O)C1=CC=CC=C1,-4.0443
C1COCCO1,CC(=O)C1=CC=CC=C1,-5.0316
CCC(C)=O,CC(=O)C1=CC=CC=C1,-4.3996
C[N+]([O-])=O,CC(=O)C1=CC=CC=C1,-4.89285
CCCCCCCC,C1=CC=C(C=C1)N,-3.517175
Cc1ccccc1,C1=CC=C(C=C1)N,-4.60455
CCO,C1=CC=C(C=C1)N,-4.37825
C1COCCO1,C1=CC=C(C=C1)N,-5.65055
CCC(C)=O,C1=CC=C(C=C1)N,-4.85975
C[N+]([O-])=O,C1=CC=C(C=C1)N,-5.0767
CCCCCCCC,COC1=CC=CC=C1,-4.69595
Cc1ccccc1,COC1=CC=CC=C1,-5.0415
CCO,COC1=CC=CC=C1,-3.5216
C1COCCO1,COC1=CC=CC=C1,-5.0572
CCC(C)=O,COC1=CC=CC=C1,-4.45915
C[N+]([O-])=O,COC1=CC=CC=C1,-4.6458
CCCCC,C1=CC=CC=C1,-3.14555
CCCCCC,C1=CC=CC=C1,-3.8412
CCCCCCCC,C1=CC=CC=C1,-5.2505
C1CCCCC1,C1=CC=CC=C1,-4.228533333
Cc1ccccc1,C1=CC=CC=C1,-5.31805
CO,C1=CC=CC=C1,-2.5539
CCO,C1=CC=CC=C1,-3.27598
CCCO,C1=CC=CC=C1,-3.9718
CCCCO,C1=CC=CC=C1,-4.7347
C1COCCO1,C1=CC=CC=C1,-5.16135
CC(C)=O,C1=CC=CC=C1,-3.790566667
