solute,solvent,Gsolv
N#Cc1cc2ccc(O)cc2oc1=O,O,410
N#Cc1cc2ccc([O-])cc2oc1=O,O,450
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,535
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,553.72
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,555
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,395
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,416
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,430
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,451
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,463
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,433
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,479
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,501
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,509
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,524
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,407
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,450
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,473
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,489
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,455
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,501
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,521
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,531
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,546
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,439
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,510
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,515
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,465
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,501
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,480
