solute,solvent,Gsolv_before,Gsolv
N#Cc1cc2ccc(O)cc2oc1=O,O,2.804262479,1.031140574
N#Cc1cc2ccc([O-])cc2oc1=O,O,3.961965135,1.376740148
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,3.602954423,1.281754182
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,3.81,1.337629189
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,4.7,1.547562509
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,2.8,1.029619417
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,3.1,1.131402111
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,3.4,1.223775432
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,3.1,1.131402111
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,3.8,1.335001067
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,4.1,1.410986974
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,4.6,1.526056303
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,0.6,-0.510825624
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,0.85,-0.162518929
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,2.7,0.993251773
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,2.6,0.955511445
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,3.3,1.193922468
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,4.5,1.504077397
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,5.9,1.774952351
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,4.3,1.458615023
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,5.4,1.686398954
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,5.6,1.722766598
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,3.4,1.223775432
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,3.5,1.252762968
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,4.2,1.435084525
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,5.6,1.722766598
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,5.1,1.62924054
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,5.2,1.648658626
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,3.2,1.16315081
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,2.8,1.029619417
CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,3.5,1.252762968
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,7.7,2.041220329
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,3.7,1.30833282
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,1.52,0.418710335
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,4.16,1.425515074
