solute,solvent,Gsolv
C,O,1.990794444
CC,O,1.82967
CCC,O,1.962376471
CCCC,O,2.068
CC(C)C,O,2.317777778
CC(C)(C)C,O,2.657366667
CCCC(C)C,O,2.511032
CC(C)CC(C)C,O,2.857113636
CC(C)CC(C)(C)C,O,2.92385
C1CC1,O,0.75
C1CCCC1,O,1.201123077
C1CCCCC1,O,1.215922917
CC1CCCCC1,O,1.699756
C=C,O,1.27716
CC=C,O,1.215894444
C=CC=C,O,0.604444444
CC(C)=C,O,1.1699875
CCC=C,O,1.36476
C1CC=CC1,O,0.53842
CCCC=C,O,1.679064516
CCCCC=C,O,1.583364286
CC#C,O,-0.48
CCC#C,O,-0.16
CCCC#C,O,0.01038
CCCCC#C,O,0.290433333
c1ccccc1,O,-0.86982451
Cc1ccccc1,O,-0.850219512
CCc1ccccc1,O,-0.723288372
Cc1ccccc1C,O,-0.893160714
Cc1cccc(C)c1,O,-0.775244444
Cc1ccc(C)cc1,O,-0.749976923
c1ccc2ccccc2c1,O,-2.3697375
c1ccc2cc3ccccc3cc2c1,O,-4.123571429
CO,O,-5.083645614
CCO,O,-5.011187692
OCCO,O,-9.3
CCCO,O,-4.87702766
CC(C)O,O,-4.756152778
CCCCO,O,-4.728118919
CC(C)(C)O,O,-4.484566667
OC1CCCC1,O,-5.496666667
CCCCCO,O,-4.562236364
Oc1ccccc1,O,-6.616666667
CCCCCCO,O,-4.40325
Cc1ccccc1O,O,-5.85094
Cc1ccc(O)cc1,O,-6.1375
CCCCCCCO,O,-4.239441176
COC,O,-1.91
C1CCOC1,O,-3.48807
C1COCCO1,O,-5.05671875
CCOCC,O,-1.736263636
CCCOC,O,-1.66
COC(C)C,O,-2.01
COCCOC,O,-4.83735
COC(C)(C)C,O,-2.019979167
COc1ccccc1,O,-2.525875
CC=O,O,-3.439432
CCC=O,O,-3.347023077
CCCC=O,O,-3.120864286
CCCCC=O,O,-3.01346
O=Cc1ccccc1,O,-4.02
CC(C)=O,O,-3.835829032
O=C1CCCC1,O,-4.724733333
CCCC(C)=O,O,-3.455092857
CCC(=O)CC,O,-3.333991667
CCCCC(C)=O,O,-3.296244444
CC(=O)C(C)(C)C,O,-3.11
CCCCCC(C)=O,O,-3.08528
CCCC(=O)CCC,O,-2.92
CC(=O)c1ccccc1,O,-4.58
CCCCC(=O)CCCC,O,-2.64
CCCC(O)=O,O,-6.3375
CCCCC(O)=O,O,-6.133333333
CCCCCC(O)=O,O,-6.106666667
COC=O,O,-2.776085714
CCOC=O,O,-2.639575
COC(C)=O,O,-3.142667857
CCC(=O)OC,O,-2.93
CCOC(C)=O,O,-2.950191176
CCCC(=O)OC,O,-2.836666667
CCCOC(C)=O,O,-2.801117391
CCCCC(=O)OC,O,-2.56
CCCCOC(=O)C,O,-2.6547
CCCCCC(=O)OC,O,-2.496666667
CCCCCOC(C)=O,O,-2.476827273
CCN,O,-4.5
CNC,O,-4.298333333
C1CNC1,O,-5.56
CCCN,O,-4.364885714
CN(C)C,O,-3.199028571
C1CCNC1,O,-5.48
C1CNCCN1,O,-7.4
CCCCN,O,-4.234925
CCNCC,O,-4.0775
CN1CCNCC1,O,-7.77
CCCCCN,O,-4.1334
CN1CCN(C)CC1,O,-7.58
CCCNCCC,O,-3.655
c1ccncc1,O,-4.69130625
Cc1cnccn1,O,-5.51
Nc1ccccc1,O,-5.76698
Cc1ccccn1,O,-4.635
Cc1cccnc1,O,-4.79765
Cc1ccncc1,O,-4.93755
CNc1ccccc1,O,-4.69
Cc1ccnc(C)c1,O,-4.86
Cc1ccc(C)nc1,O,-4.72
Cc1cccc(C)n1,O,-4.59
CC#N,O,-3.915406667
CCC#N,O,-3.843423077
CCCC#N,O,-3.626866667
N#Cc1ccccc1,O,-4.11305
CC[N+]([O-])=O,O,-3.71995
CCC[N+]([O-])=O,O,-3.377866667
CC(C)[N+]([O-])=O,O,-3.13
CCCC[N+]([O-])=O,O,-3.095
[O-][N+](=O)c1ccccc1,O,-4.227885714
CS,O,-1.18105
CCS,O,-1.0689
CCCS,O,-0.99255
Sc1ccccc1,O,-2.55
CSC,O,-1.498421429
CSSC,O,-1.736175
CCSCC,O,-1.46
CCCSCCC,O,-1.28
CSc1ccccc1,O,-2.73
OCC=C,O,-5.036766667
COCCO,O,-6.773333333
COCCN,O,-6.55
C1COCCN1,O,-7.17
Oc1cccc(C=O)c1,O,-9.515
CF,O,-0.22
CC(F)F,O,-0.119833333
Fc1ccccc1,O,-0.80135
CCl,O,-0.55
ClCCl,O,-1.316777778
ClC(Cl)Cl,O,-1.07538
CCCl,O,-0.63
ClCC(Cl)Cl,O,-1.990766667
CCCCl,O,-0.3747
CC(C)Cl,O,-0.226166667
ClC=C,O,-0.59
ClCC=C,O,-0.57
ClC=C(Cl)Cl,O,-0.459864706
Clc1ccccc1,O,-1.142505263
Clc1ccccc1Cl,O,-1.40413
Clc1ccc(Cl)cc1,O,-1.01
CBr,O,-0.82
BrCBr,O,-2.01275
BrC(Br)Br,O,-1.9558
CCBr,O,-0.7364
CCCBr,O,-0.561333333
CC(C)Br,O,-0.4817
CCCCBr,O,-0.336266667
CCCCCBr,O,-0.1
Brc1ccccc1,O,-1.461555556
FC(F)(F)Br,O,1.79
FCCl,O,-0.77
FC(F)(F)F,O,3.135
ClCCBr,O,-1.95
ClC(Cl)=C(Cl)Cl,O,-0.060655556
FC(F)(F)CCl,O,0.0589
FC(F)(Cl)C(F)(Cl)Cl,O,1.77
OCC(F)(F)F,O,-4.31
N,O,-4.33625
S,O,-0.650978571
CO[P](=O)(OC)OC,O,-8.7
CCO[P](=O)(OCC)OCC,O,-7.5
CCSSCC,O,-1.54025
C1CCNCC1,O,-5.11
CN1CCOCC1,O,-6.32
CN,O,-4.558
CCc1cnccn1,O,-5.45
CCCCCCCCO,O,-4.07146
CCCCCCCC=O,O,-2.29
CCCCCCCC(=O)OC,O,-2.04
CCCCCCC(C)=O,O,-2.920933333
COC(=O)c1ccccc1,O,-3.91385
C1CCOCC1,O,-3.12205
s1cccc1,O,-1.392575
CCOc1ccccc1,O,-2.22
ClCC(Cl)(Cl)Cl,O,-1.43
CCCCCCl,O,-0.063
ClCC1=CC=CC=C1,O,-1.8811
Cc1ccccc1Cl,O,-1.14
CC(C)CBr,O,-0.03
BrCC1=CC=CC=C1,O,-2.38
Cc1ccc(Br)cc1,O,-1.39
Cc1ccncc1C,O,-5.22
C[N+]([O-])=O,O,-4.02596
Cc1cncc(C)c1,O,-4.84
CCc1ccncc1,O,-4.73
NC(=O)c1ccccc1,O,-11.005
Cc1ccccc1N,O,-5.5495
CN(C)c1ccccc1,O,-3.45
FC1=CNC(=O)NC1=O,O,-16.92
FC(F)(F)C1=CNC(=O)NC1=O,O,-15.46
ClC1=CNC(=O)NC1=O,O,-17.74
BrC1=CNC(=O)NC1=O,O,-18.17
CC(=O)OCC(COC(C)=O)OC(C)=O,O,-8.84
FC(F)(F)c1cccc(c1)C(F)(F)F,O,1.07
