solute,solvent,Gsolv
[HH],CCC(C)O,-1.14
O=O,CCC(C)O,-0.67
N#N,CCC(C)O,-0.9
[C-]#[O+],CCC(C)O,-0.77
C(=O)=O,CCC(C)O,0.24
C,CCC(C)O,-0.31
CC,CCC(C)O,0.45
CC(C)C,CCC(C)O,1.31
CCCCC,CCC(C)O,1.94
C1CCCCC1,CCC(C)O,2.67
C=C,CCC(C)O,0.32
CC=C,CCC(C)O,0.97
C/C=C/C,CCC(C)O,1.56
C/C=C\C,CCC(C)O,1.62
C=CC=C,CCC(C)O,1.52
C(F)(F)(F)F,CCC(C)O,-0.74
CCCl,CCC(C)O,1.77
CC(F)F,CCC(C)O,0.97
COC,CCC(C)O,1.54
CCCOCCC,CCC(C)O,3.04
CC(C)OC(C)C,CCC(C)O,2.75
CCC(=O)C,CCC(C)O,3.05
CCCC#N,CCC(C)O,3.35
CCN(CC)CC,CCC(C)O,3.53
CO,CCC(C)O,3.29
CCCCO,CCC(C)O,4.47
FS(F)(F)(F)(F)F,CCC(C)O,-0.19
c1ccccc1,CCC(C)O,2.77
c1ccc(cc1)Cl,CCC(C)O,3.73
c1ccncc1,CCC(C)O,4.13
CCC=C,CCC(C)O,1.46
CC(=C)C,CCC(C)O,1.46
CCCCCl,CCC(C)O,2.73
[2H][2H],CCC(C)O,-1.13
CC(C)CO,CCC(C)O,4.36
CCC(C)O,CCC(C)O,4.09
CCCCBr,CCC(C)O,3.07
Cc1ccccn1,CCC(C)O,4.4
CCCCCCCCCCCCCCCCCCCCCCC,CCC(C)O,10.33
CCC,CC(C)CCO,0.98
CCCC,CC(C)CCO,1.52
CC(C)C,CC(C)CCO,1.34
CC=C,CC(C)CCO,0.96
C/C=C/C,CC(C)CCO,1.58
C/C=C\C,CC(C)CCO,1.62
C=CC=C,CC(C)CCO,1.53
CCCl,CC(C)CCO,1.77
CC(F)F,CC(C)CCO,0.91
COC,CC(C)CCO,1.6
CCC=C,CC(C)CCO,1.47
CC(=C)C,CC(C)CCO,1.47
[HH],CCCCCCCCCCC,-1.1
O=O,CCCCCCCCCCC,-0.58
N#N,CCCCCCCCCCC,-0.82
